(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
2,3-diaminopropionate	NCC(N)C(=O)O	PECYZEOJVXMISF-UHFFFAOYSA-N
2,3-dihydroxicinnamic acid	O=C([O-])/C=C/c1cccc(O)c1O	SIUKXCMDYPYCLH-SNAWJCMRSA-M
2,3-dihydroxybenzoylserine	O=C(N[C@@H](CO)C(=O)[O-])c1cccc(O)c1O	VDTYHTVHFIIEIL-LURJTMIESA-M
2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	Nc1nc(O)c(N)c(N[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)n1	OCLCLRXKNJCOJD-UMMCILCDSA-L
2,5-Diketo-3-deoxy-D-gluconate	C(C(C(=O)CO)O)C(=O)C(=O)O	IBGYNIRCYXIAON-VKHMYHEASA-N
2,5-diketo-D-gluconate	O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO	RXMWXENJQAINCC-DMTCNVIQSA-M
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	N=C(CNC=O)NC1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	PMCOGCVKOAOZQM-ZRTZXPPTSA-N
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)	CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)([O-])OCC[NH3+]	NPAZKTOOMVQLIH-MRXNPFEDSA-N
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)	CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN	DDUZNLUWXLYPCP-GOSISDBHSA-N
2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(O)COP(=O)([O-])OCC[NH3+]	RBKXDGUVZHKXHJ-UHFFFAOYSA-N
