(+)-alpha-pinene	CC1=CCC2CC1C2(C)C	GRWFGVWFFZKLTI-UHFFFAOYSA-N
lathosterol	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	IZVFFXVYBHFIHY-SKCNUYALSA-N
lauric acid	CCCCCCCCCCCC(=O)[O-]	POULHZVOKOAJMA-UHFFFAOYSA-M
lauroyl-CoA	CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	YMCXGHLSVALICC-GMHMEAMDSA-N
lc3Cer	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	IZUGJFIVXAZJFA-OTHRLYQNSA-N
lc4Cer	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	
lepidimoide	CC1C(C(C(C(O1)O)OC2C(C(C=C(O2)C(=O)[O-])O)O)O)O.[Na+]	ZGUYXYAGTSSIIA-DUQBLKLASA-M
leucine	CC(C)C[C@H](N)C(=O)O	ROHFNLRQFUQHCH-YFKPBYRVSA-N
leukoaminochrome	C1CNC2=CC(=C(C=C21)O)O	VGSVNUGKHOVSPK-UHFFFAOYSA-N
leukotriene A4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H]1O[C@H]1CCCC(=O)O	UFPQIRYSPUYQHK-WAQVJNLQSA-N
leukotriene A5	CC/C=C\C/C=C\C/C=C\C=C\C=C\[C@@H]1O[C@H]1CCCC(=O)[O-]	UPGVTUHMXWZYBQ-LVSGIGABSA-M
leukotriene B4	CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)[O-]	VNYSSYRCGWBHLG-AMOLWHMGSA-M
leukotriene B5	CC/C=C\C/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O	BISQPGCQOHLHQK-HDNPQISLSA-N
leukotriene C4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)[C@@H](O)CCCC(=O)O	GWNVDXQDILPJIG-NXOLIXFESA-N
leukotriene C5	CCC=CCC=CCC=CC=CC=CC(C(CCCC(=O)O)O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	OSBTVMNXIHRFGN-KERZFGRDSA-N
leukotriene D5	CC/C=C\C/C=C\C/C=C\C=C\C=C\[C@H](SC[C@H](N)C(=O)NCC(=O)O)[C@H](O)CCCC(=O)O	RWLDHKGRPLNPBN-DSJHTHEWSA-N
leukotriene E4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H]([NH3+])C(=O)[O-])[C@@H](O)CCCC(=O)[O-]	OTZRAYGBFWZKMX-FRFVZSDQSA-M
leukotriene F4	CCCCC/C=C\C/C=C\C=C\C=C\[C@@H](SC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)O)[C@@H](O)CCCC(=O)O	PYSODLWHFWCFLV-VJBFNVCUSA-N
lignocerate	CCCCCCCCCCCCCCCCCCCCCCCC(=O)[O-]	QZZGJDVWLFXDLK-UHFFFAOYSA-M
limonene	C=C(C)[C@@H]1CC=C(C)CC1	XMGQYMWWDOXHJM-SNVBAGLBSA-N
linoleate	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	OYHQOLUKZRVURQ-HZJYTTRNSA-N
linoleic-carnitine	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C	MJLXQSQYKZWZCB-DQFWFXSYSA-N
linolenate	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O	DTOSIQBPPRVQHS-PDBXOOCHSA-N
linolenoyl-CoA	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	OMKFKBGZHNJNEX-PQBHNYBOSA-N
linoleoyl-CoA	CCCCC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	YECLLIMZHNYFCK-RRNJGNTNSA-N
lipoamide	NC(=O)CCCC[C@@H]1CCSS1	FCCDDURTIIUXBY-SSDOTTSWSA-N
lipoic acid	O=C(O)CCCC[C@@H]1CCSS1	AGBQKNBQESQNJD-SSDOTTSWSA-N
lipoxin A4	CCCCC[C@H](O)/C=C/C=C\C=C\C=C\[C@@H](O)[C@@H](O)CCCC(=O)[O-]	IXAQOQZEOGMIQS-SSQFXEBMSA-M
lipoxin B4	CCCCC[C@H](O)[C@H](O)/C=C/C=C/C=C\C=C\[C@@H](O)CCCC(=O)O	UXVRTOKOJOMENI-WLPVFMORSA-N
lipoyllysine	N[C@H](CCCCNC(=O)CCCCC1CCSS1)C(=O)O	COTIXRRJLCSLLS-PIJUOVFKSA-N
lithocholate	[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@@H](O)C2	SMEROWZSTRWXGI-HVATVPOCSA-N
lumisterol 3	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]21C	UCTLRSWJYQTBFZ-XMVWLVNMSA-N
lysine	NCCCC[C@H](N)C(=O)O	KDXKERNSBIXSRK-YFKPBYRVSA-N
lysosomal-enzyme-D-mannose	[*]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	
lysosomal-enzyme-N-acetyl-D-glucosaminyl-phospho-D-mannose	CC(=O)N[C@H]1[C@@H](OP(=O)(O)OC[C@H]2O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O	RNXZNQBQPLWVFU-YKIXKYLVSA-N
lysyl-proline	C1CC(N(C1)C(=O)C(CCCCN)N)C(=O)O	AIXUQKMMBQJZCU-IUCAKERBSA-N
m7G(5')pppAm	CN1C=[N+](C2=C1C(=O)NC(=N2)N)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OCC4C(C(C(O4)N5C=NC6=C(N=CN=C65)N)OC)O)O)O	UFVBPMPLSKDIFV-UHFFFAOYSA-L
m7G(5')pppR-RNA	C[n+]1cn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H]([*])[C@H](O)[C@@H]3OP(=O)(O)OC[C@H]3O[C@@H]([*])[C@H](O)[C@@H]3OP(=O)(O)OC[C@H]3O[C@@H]([*])[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21	
m7G(5')pppm6Am (mRNA containing an N6,2'-O-dimethyladenosine cap)	CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3c[n+](C)c4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](OP(=O)([O-])OC[C@H]2O[C@@H]([*])[C@H](O)[C@@H]2OP(=O)([O-])OC[C@H]2O[C@@H]([*])[C@H](O)[C@@H]2O)[C@H]1OC	
malate	O=C(O)C[C@H](O)C(=O)O	BJEPYKJPYRNKOW-REOHCLBHSA-N
malonate	O=C(O)CC(=O)O	OFOBLEOULBTSOW-UHFFFAOYSA-N
malonic-dialdehyde	O=CCC=O	WSMYVTOQOOLQHP-UHFFFAOYSA-N
malonyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(=O)O	LTYOQGRJFJAKNA-DVVLENMVSA-N
maltodecaose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC7C(OC(C(C7O)O)OC8C(OC(C(C8O)O)OC9C(OC(C(C9O)O)OC1C(OC(C(C1O)O)O)CO)CO)CO)CO)CO)CO)CO)CO)CO)O)O)O)O	RJQKKZNUWRIHCS-UHFFFAOYSA-N
maltoheptaose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC5C(OC(C(C5O)O)OC6C(OC(C(C6O)O)OC(C(CO)O)C(C(C=O)O)O)CO)CO)CO)CO)CO)O)O)O)O	ZHZITDGOAFCURV-VVTKTIMZSA-N
maltohexaose	O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO	DJMVHSOAUQHPSN-KZSASMRXSA-N
maltononaose	C(C1C(C(C(C(O1)OCC(C(C(C(C=O)OC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)OC8C(C(C(C(O8)CO)O)O)O)O)O)O)O	KNBVLVBOKWRYEP-XYLDXDTCSA-N
maltopentaose	C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)OC(C(CO)O)C(C(C=O)O)O)CO)CO)CO)O)O)O)O	FJCUPROCOFFUSR-GMMZZHHDSA-N
maltose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	GUBGYTABKSRVRQ-DKBJLJRDSA-N
maltotetraose	O=C[C@H](O)[C@@H](O)[C@H](O[C@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CO	UYQJCPNSAVWAFU-KVXMBEGHSA-N
maltotriose	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	FYGDTMLNYKFZSV-PXXRMHSHSA-N
mannose	OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O	WQZGKKKJIJFFOK-QTVWNMPRSA-N
mannose-1-phosphate	O=P(O)(O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	HXXFSFRBOHSIMQ-QTVWNMPRSA-N
mannose-6-phosphate		VFRROHXSMXFLSN-KVTDHHQDSA-N
margaric acid	CCCCCCCCCCCCCCCCC(=O)[O-]	KEMQGTRYUADPNZ-UHFFFAOYSA-M
mead acid	CCCCCCCCC=CCC=CCC=CCCCC(=O)O	UNSRRHDPHVZAHH-YOILPLPUSA-N
melatonin	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	DRLFMBDRBRZALE-UHFFFAOYSA-N
melatonin radical	COc1ccc2c(c1)C(O)(CCN=C(C)O)[CH]N2	SQNQBXWYHXYLQX-UHFFFAOYSA-N
menadiol	Cc1cc(O)c2ccccc2c1O	ZJTLZYDQJHKRMQ-UHFFFAOYSA-N
menaquinol-4	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1c(C)c(O)c2ccccc2c1O	NIOZAZRLJCBEGX-GHDNBGIDSA-N
mercaptopyruvate	O=C([O-])C(=O)CS	OJOLFAIGOXZBCI-UHFFFAOYSA-M
mesaconate	C/C(=C\C(=O)O)C(=O)O	HNEGQIOMVPPMNR-NSCUHMNNSA-N
mesaconyl-CoA	C/C(=C\C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	LVBVWNJPMXCQJE-CBBDEUQJSA-N
metformin	CN(C)C(=N)NC(=N)N	XZWYZXLIPXDOLR-UHFFFAOYSA-N
methacrylyl-CoA	C=C(C)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	NPALUEYCDZWBOV-NDZSKPAWSA-N
methaneselenol	C[SeH]	APKHDKJWSHYLEU-UHFFFAOYSA-N
methanol	CO	OKKJLVBELUTLKV-UHFFFAOYSA-N
methionine	CSCC[C@H](N)C(=O)O	FFEARJCKVFRZRR-BYPYZUCNSA-N
methyl-indole-3-acetate	COC(=O)CC1=CNC2=CC=CC=C21	KTHADMDGDNYQRX-UHFFFAOYSA-N
methylamine	CN	BAVYZALUXZFZLV-UHFFFAOYSA-N
methylarsonate	C[As](=O)([O-])O	QYPPRTNMGCREIM-UHFFFAOYSA-M
methylglyoxal	CC(=O)C=O	AIJULSRZWUXGPQ-UHFFFAOYSA-N
methylimidazole-acetaldehyde	Cn1cnc(CC=O)c1	GCQHUBANENYTLB-UHFFFAOYSA-N
methylimidazoleacetic acid	Cn1cnc(CC(=O)O)c1	ZHCKPJGJQOPTLB-UHFFFAOYSA-N
methylmalonate	CC(C(=O)[O-])C(=O)[O-]	ZIYVHBGGAOATLY-UHFFFAOYSA-L
methylmalonyl-CoA	C[C@@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	MZFOKIKEPGUZEN-IBNUZSNCSA-N
mitoACP	CC(C)(COP(=O)([O-])OC[C@H](N[*])C([*])=O)[C@@H](O)C(=O)NCCC(=O)NCCS	
mitoApo-[ACP]	[*]N[C@@H](CO)C([*])=O	
mitooxidized thioredoxin	[*]N[C@@H](CSSC[C@H](N[*])C([*])=O)C([*])=O	
molybdopterin	Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C([S-])[C@@H](COP(=O)([O-])[O-])O[C@H]1N2	HPEUEJRPDGMIMY-IFQPEPLCSA-K
monodehydroascorbate	[H][C@]1([C@@H](O)CO)OC(=O)C(O)=C1[O]	LHFJOBMTAJJOTB-JLAZNSOCSA-N
monosialylgalactosylgloboside	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@]6(C(=O)[O-])C[C@H](O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O6)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	
myo-inositol-hexakisphosphate	O=P(O)(O)O[C@H]1[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1OP(=O)(O)O	IMQLKJBTEOYOSI-GPIVLXJGSA-N
myristic acid	CCCCCCCCCCCCCC(=O)[O-]	TUNFSRHWOTWDNC-UHFFFAOYSA-M
myristoyl-CoA	CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	DUAFKXOFBZQTQE-QSGBVPJFSA-N
nLc5Cer	CCCCCCCCCCCCC/C=C/[C@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	HMOQZEGDEFENEX-RPWLUHJXSA-N
nLc5Cer(G00051)	CCCCCCCCCCCCCC=C[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4O)[C@H](O)[C@H]3N=C(C)O)[C@H]2O)[C@H](O)[C@H]1O)N=C(C)O	HMOQZEGDEFENEX-WATINQGFSA-N
nLc6Cer	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC([*])=O	VSLUUOTXHBNIGP-UIOYYAOESA-N
nLc8Cer	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(C)=O	GJWRHCGICQJRIC-YFRPVVHJSA-N
naphthalene	c1ccc2ccccc2c1	UFWIBTONFRDIAS-UHFFFAOYSA-N
naphthalene-1,2-diol	Oc1ccc2ccccc2c1O	NXPPAOGUKPJVDI-UHFFFAOYSA-N
neocasomorphin	CC[C@H](C)[C@H]([NH+]=C([O-])[C@H]1CCCN1C(=O)[C@@H](CCC(=O)[O-])[NH+]=C([O-])[C@@H]([NH+]=C([O-])[C@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccc(O)cc1)C(C)C)C(=O)[O-]	OFSHRWCWYJBWJP-CMAHKSKVSA-M
neocasomorphin (1-5)	CC(C)[C@H]([NH+]=C([O-])[C@H]1CCCN1C(=O)[C@H]([NH3+])Cc1ccc(O)cc1)C([O-])=[NH+][C@H](CCC(=O)[O-])C(=O)N1CCC[C@@H]1C(=O)[O-]	WRNQQFNBEUKAAX-MOGNJTFLSA-M
nervonic acid	CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O	GWHCXVQVJPWHRF-KTKRTIGZSA-N
neungc	O=C(CO)N[C@@H]1[C@@H](O)CC(O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO	FDJKUWYYUZCUJX-PGIATKPXSA-M
neuromedin B	CC(C)CC(C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(C)C(=O)NC(C(C)O)C(=O)NCC(=O)NC(CC3=CN=CN3)C(=O)NC(CC4=CC=CC=C4)C(=O)NC(CCSC)C(=O)N)NC(=O)C(CC(=O)N)NC(=O)CN	YPFNACALNKVZNK-UHFFFAOYSA-N
neuromedin B(1-3)	CC(C)C[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)CN)C(=O)O	JVWPPCWUDRJGAE-JGVFFNPUSA-N
neuromedin N	CCC(C)C(C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C2CCCN2C(=O)C(C(C)CC)NC(=O)C(CCCCN)N	RZMLVIHXZGQADB-YLUGYNJDSA-N
neuromedin N(1-4)	CC[C@@H](C)[C@@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](C(=O)O)[C@H](C)CC	SKGLAZSLOGYCCA-PEFXOJROSA-N
neurotensin	CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CC(C)C)C(=O)O	PCJGZPGTCUMMOT-ISULXFBGSA-N
neurotensin 1-10	CC(C)CC(C(=O)NC(CC1=CC=C(C=C1)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC(=O)N)C(=O)NC(CCCCN)C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)N3CCCC3C(=O)O)NC(=O)C4CCC(=O)N4	HRJVZMYUVJBTHQ-AYDUOSKHSA-N
neurotensin 11-13	CCC(C)[C@H](NC(=O)[C@H]([NH3+])Cc1ccc(O)cc1)C(=O)N[C@H](CC(C)C)C(=O)[O-]	HVPPEXXUDXAPOM-WOFBESPQSA-N
nicotinamide	NC(=O)c1cccnc1	DFPAKSUCGFBDDF-UHFFFAOYSA-N
nicotinamide D-ribonucleotide	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c1	DAYLJWODMCOQEW-TURQNECASA-M
nicotinamide ribonucleoside	NC(=O)c1ccc[n+]([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1	JLEBZPBDRKPWTD-TURQNECASA-O
nicotinate	O=C([O-])c1cccnc1	PVNIIMVLHYAWGP-UHFFFAOYSA-M
nicotinate ribonucleotide	O=C(O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1	JOUIQRNQJGXQDC-ZYUZMQFOSA-O
nifedipine	COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-]	HYIMSNHJOBLJNT-UHFFFAOYSA-N
nitrite	O=N[O-]	IOVCWXUNBOPUCH-UHFFFAOYSA-M
nitrogen	N#N	IJGRMHOSHXDMSA-UHFFFAOYSA-N
nitrosoperoxycarbonate	O=NOOC(=O)[O-]	KSZMOTXUZYNGAZ-UHFFFAOYSA-M
nitryl-chloride	O=NOCl	NXRVFVBNLWGOCL-UHFFFAOYSA-N
noladin-ether	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCOC(CO)CO	CUJUUWXZAQHCNC-DOFZRALJSA-N
nonadecanoyl-CoA	CCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O	YUJZGRUJMWKAJF-ZOUGCNRJSA-N
nonadecanoylcarnitine	CCCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	GWKZIORVZQMWMC-UHFFFAOYSA-N
nonadecylic acid	CCCCCCCCCCCCCCCCCCC(=O)O	ISYWECDDZWTKFF-UHFFFAOYSA-N
nonanoic acid	CCCCCCCCC(=O)[O-]	FBUKVWPVBMHYJY-UHFFFAOYSA-M
nonanoyl-CoA	CCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	WLDUTYVSAGSKIV-FUEUKBNZSA-N
noradrenaline	[NH3+]C[C@H](O)c1ccc(O)c(O)c1	SFLSHLFXELFNJZ-QMMMGPOBSA-O
noradrenochrome	O=C1C=C2C(=NCC2O)CC1=O	PTQNKGWWIYGAAE-UHFFFAOYSA-N
norepinephrine sulfate	NC[C@H](O)c1ccc(OS(=O)(=O)O)c(O)c1	CVJMZWLHUCMEKO-ZETCQYMHSA-N
norlaudanosoline	Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1O	ABXZOXDTHTTZJW-UHFFFAOYSA-N
normetanephrine	COc1c(Cl)c(O)c2c(=O)c3c(C)cc(O)c(Cl)c3oc2c1Cl	SWYXXNJANIXCRQ-UHFFFAOYSA-N
ocosatetraenoylcarnitine	CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	OLORTLVEDIELGC-SNPVRQPZSA-N
octadecanal	CCCCCCCCCCCCCCCCCC=O	FWWQKRXKHIRPJY-UHFFFAOYSA-N
octadecatrienoylcarnitine	CCCCCCCCCCCC=CC=CC=CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	CVNKAUPYXPTRFL-UHFFFAOYSA-N
octadecenoylcarnitine(5)	CCCCCCCCC=CCCCCCCCC(=O)O[C@@H](CC(=O)[O-])C[N+](C)(C)C	IPOLTUVFXFHAHI-QHCPKHFHSA-N
octadecenoylcarnitine(7)	CCCCCC/C=C/CCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	HOAMADDCQBUDDY-ZHACJKMWSA-N
octanal	CCCCCCCC=O	NUJGJRNETVAIRJ-UHFFFAOYSA-N
octanoate radical	CCCCCCCC(=O)[O-]	WWZKQHOCKIZLMA-UHFFFAOYSA-M
octanoic acid	CCCCCCCC(=O)[O-]	WWZKQHOCKIZLMA-UHFFFAOYSA-M
